model,gyration
1,30.520195127407387
2,21.686076441992967
3,21.875391357675344
4,34.198365128012625
5,21.629247150841312
6,31.23409212613113
7,24.63052069262246
8,28.99459088448636
9,43.49653291446402
10,38.74831983459909
11,31.423247510567244
12,28.8162722936846
13,25.67311440607232
14,26.36611948122094
15,28.780852196530013
16,26.435356962564025
17,37.38891979845802
18,35.333100208868885
19,33.943557804481934
20,24.94490773473211
21,39.79016920175486
22,46.3832520151104
23,30.429756562676484
24,32.29526426359041
25,29.76356350047608
26,45.323560426818965
27,23.64714834350237
28,30.48171965200514
29,21.16152232025586
30,25.16198777978876
31,35.13151043219118
32,33.13239319171287
33,31.13280562282137
34,30.965462247010795
35,21.87744666143345
36,27.8123573300974
37,22.312640905190506
38,29.029302932301093
39,45.502058508692144
40,22.218954032613063
41,39.74939989050075
42,28.725893576754142
43,21.2987132229142
44,26.892151176366816
45,26.69796491179652
46,31.748380308183112
47,35.901958998638044
48,26.55278756149934
49,37.130186905736295
50,34.2075604707053
51,33.964530047280874
52,41.74871901212586
53,38.16097219483032
54,31.285303311783707
55,22.206375924749057
56,28.851805430733272
57,31.174339151399717
58,45.9050949763385
59,22.800989448570935
60,40.13717854683552
61,42.11808229088857
62,26.911125573899213
63,40.36294163254082
64,45.59393803449728
65,24.59924121907813
66,34.085563296117925
67,24.33114807424922
68,26.4834916517825
69,33.63507345674643
70,21.97380401191208
71,52.663463180244094
72,33.70890057974751
73,34.14630777672731
74,27.59394854047973
75,31.619970538257512
76,32.52678912439283
77,23.742756776378
78,32.18188436475846
79,29.67848207020285
80,29.487119881100188
81,37.761682504792304
82,26.958961860191668
83,25.5071471832206
84,42.48348878248587
85,31.17683393858943
86,39.83171901063804
87,30.70518403193096
88,35.43512548294963
89,26.5917011067178
90,28.57643909524267
91,24.41142153209776
92,33.04453083116468
93,27.524996778279892
94,32.36204339873221
95,27.26906945982951
96,21.05695430688828
97,24.393552138280818
98,27.050882499675392
99,30.91926521808405
100,38.344531833881184
101,37.28398426633327
102,33.11236095908031
103,25.716270186706247
104,27.643682195396657
105,25.999334538209133
106,29.678240049342698
107,35.344889594598065
108,33.44755982118391
109,22.640349051437287
110,24.01103169244312
111,27.376650685028125
112,30.41741505877108
113,30.204236420466607
114,36.086321965860506
115,25.62903457370258
116,39.082390579648255
117,26.870441845859467
118,29.310093250077752
119,26.300313329553784
120,30.20894152654989
121,34.37828056109423
122,34.86447218341638
123,49.73424796785883
124,25.81199178775108
125,26.151284238683235
126,44.89495525223087
127,39.82159863413695
128,32.839811145517146
129,28.030529369015657
130,32.483592530077075
131,37.6082125602561
132,44.62543240967861
133,31.65935513594028
134,28.10932728512998
135,41.16206072733983
136,23.828866388602663
137,25.77208317424186
138,38.15341820151166
139,34.42619478179962
140,27.466522945330063
141,31.57080543333916
142,26.562543282043837
143,46.38947909478995
144,29.82858680772338
145,21.261846437794347
146,36.53439201772426
147,37.788983363750646
148,31.901700874358266
149,21.92432480948819
150,26.06039363143421
151,38.98359795224373
152,29.735993696425574
153,21.962711843655768
154,22.10479670018951
155,26.8268483109668
156,40.295936416080416
157,34.25883921700398
158,35.44351953096247
159,23.362994471059903
160,26.20605564757668
161,38.04107707426994
162,28.203570486910955
163,46.511225504499855
164,33.57016414583579
165,30.2150800495708
166,27.020451856021094
167,42.5000798788078
168,47.18522302916976
169,36.29512252583431
170,27.37237083092346
171,28.8151269937898
172,20.9204314828868
173,28.08977264629432
174,22.64681429576433
175,24.06155818165013
176,37.32441654741325
177,39.16379308292161
178,39.36772399283706
179,37.77248401282683
180,42.81599174596722
181,34.94014481116622
182,22.605963058701388
183,25.21043933806965
184,26.9179398865185
185,29.750698434457583
186,23.57839224347186
187,26.41154942827005
188,42.96194394284126
189,23.93118715222957
190,27.396234528360665
191,22.08195191306428
192,37.41030449485938
193,22.40263593974318
194,32.274632672651315
195,35.22465095700164
196,18.278847593920133
197,21.45032293634731
198,28.271126603494917
199,41.414024974829886
200,30.177319786415943
201,33.62307244409961
202,23.330989896085224
203,33.97576529470069
204,22.015420215162116
205,23.85269905880093
206,22.822801700695248
207,29.63497151667791
208,38.73120394237827
209,26.44694840518548
210,28.55563221847117
211,27.023620749820655
212,35.27760968760448
213,35.394312242972475
214,34.35531050628469
215,31.039870009728
216,30.431929585156475
217,41.23429221840694
218,37.31008059458093
219,39.646169670522205
220,32.44731299662848
221,33.99850070410558
222,30.928096785645057
223,22.554195281660636
224,35.879953368701656
225,28.356871682836875
226,22.48588255299841
227,39.242721299960046
228,25.99801942064917
229,25.034222573678672
230,31.599879248825182
231,51.11279454917887
232,25.54762026706563
233,24.77625941427037
234,39.92720655066526
235,20.163317074559217
236,30.071033464763893
237,20.170550189998757
238,29.91169769332363
239,29.31056384497482
240,35.17002882606097
241,30.53757549367247
242,22.650256911508983
243,27.96346428992322
244,37.0472528638194
245,48.83774217316382
246,25.418714719077805
247,26.705776213177288
248,25.656844725549085
249,30.82699393819614
250,30.508766988752683
251,32.09606453663809
252,24.04444514913195
253,23.34079015878696
254,32.31585211253013
255,41.97281268540112
256,32.157699534115416
257,26.03239949427386
258,26.268806017739344
259,40.43571939492081
260,35.4867218719069
261,34.602922107591844
262,36.09446972768809
263,51.50683884328977
264,27.207304691116843
265,34.21678940532192
266,29.966448509811972
267,42.36680522162681
268,28.028523588235878
269,26.625911510205537
270,20.11801066949513
271,24.07806389270188
272,27.51777467197965
273,21.09232498031957
274,27.30586609271412
275,35.77551240022327
276,40.91965319462961
277,45.24231021858214
278,31.473360461622818
279,33.30986745937255
280,35.13467200063758
281,36.98737017379833
282,23.759980757229247
283,38.00851203028883
284,35.98843068568961
285,25.18830837542933
286,37.86158804289956
287,45.94877797700505
288,23.018875908290465
289,28.98862704309945
290,35.28164573019066
291,29.449897043358032
292,26.828609815300457
293,23.38521717203869
294,26.343604725584708
295,25.03241705009036
296,23.600915239078244
297,32.5738648983532
298,33.67686964162345
299,33.409592737590195
300,34.26413599021615
301,28.55120134689612
302,24.897549585745637
303,30.876916852451657
304,33.63740568318276
305,38.95945136454837
306,26.597466659534984
307,25.493834279525533
308,22.014966354374742
309,49.920567205739566
310,49.00007094264103
311,37.77332308348228
312,27.391894547992443
313,22.95935911777684
314,22.62200825915629
315,23.925102487388926
316,24.126960388243027
317,40.62604468319631
318,35.58591263870631
319,34.41433990486553
320,31.22261717301492
321,40.72934028089638
322,38.570027316393535
323,26.07307283319918
324,26.246037335799027
325,27.036848075594797
326,25.0802385905484
327,22.385905299533174
328,40.40286426949288
329,34.64550005330728
330,24.65768945567217
331,24.58046626150313
332,29.20279865501544
